id,name,desc,trait
anarchism,無政府主義,無政府主義とは、権威そのものを拒否することであり、社会を単一の中央集権国家ではなく、自己管理と自治の集団に分割することを促進するものである。,無政府主義者
progressive_socialism,革新的社会主義,従来の社会主義を改良した社会主義思想こそが革新的社会主義である。この思想は存在しうる社会主義の欠点を修正した修正主義ともなり得るため、社会主義同士の対立に陥る可能性も高い。また、この思想は宗教社会主義や急進リバタリアニズムなどに進化する可能性が存在し、国々や指導者によって要点が違う思想でもある。,革新的社会主義者
marxism-leninism,マルクス＝レーニン主義,マルクス＝レーニン主義とは、個人主義的な自由主義経済や資本主義の弊害に反対し、より平等で公正な社会を目指す思想、運動、体制である。社会主義は広義には社会を組織化することにより人々を支える制度であり、歴史的には社会改良主義、社会民主主義、無政府主義、サンディカリズム、共産主義、国家社会主義なども含まれる。,マルクス＝レーニン主義者
social_democracy,社会民主主義,平等及び革新主義者の言う「社会主義国家」を追求すべく、社会民主主義は国民の信任にもとづいて資本主義の影響を軽減ないし無効化することを目指す。,社会民主主義者
liberalism,自由主義,個人の自由に価値を置く哲学的な長い伝統から、自由主義は諸権利の保護を国家第一の役割と考える。,自由主義者
conservative_democracy,保守民主主義,社会の急激な変化は危険であると考え、保守主義は伝統と穏健な改革の信奉者となり、時には古い道徳的価値観へ戻ることを提唱する。,保守民主主義者
authoritarian_democrat,権威的民主主義,権威的民主主義は代表議会による強力な執行力と部分民主主義的な政治制度を併せ持つ政治思想である。権威民主主義体制は多くの場合、社会の問題に対しては保守的な立場をとっており、限定的な政府の介入による自由資本主義経済を推進している。この思想は君主が存在した場合、立憲君主制民主主義ともなり得るものである。,権威的民主主義者
authoritarian_despot,権威専制主義,権威専制主義は絶対的な権力を握る一人の人物によって統治される政体である。この思想はかつてのポーランドのユゼフ・ピウスツキやトルコのムスタファ・ケマル、中華民国の蔣介石が行った政治体制に近いとされる。,権威専制主義者
national_fascism,国家結束主義,国家結束主義は様々な超国家主義的運動を含む思想であり、国家への献身と、強力な指導者の下での人々の結束への崇拝が典型的である。,国家結束主義者
national_socialism,国家社会主義,国家社会主義は極端なナショナリズムに根ざし、民族の優越性を原動力としている。積極的拡大主義及び、人々が絶対的権力者の下に結束した全体主義国家を推進する。,国家社会主義者
ultranationalism,超国家主義,超国家主義とは、特定の国家あるいは民族の利益を他の何よりも追求する極端なナショナリズムである。,超国家主義者